claim_id,setting,metric,estimate,ci_low,ci_high,estimate_ci,n_samples,confidence,n_resamples,direction,interpretation
llava_fastv_confidence_sharpening,"LLaVA/POPE FastV r=0.5, 3 seeds",max_softmax_mean_delta,0.008117722538995786,0.004517504495152433,0.011464845986498315,"0.0081 [0.0045, 0.0115]",1536,0.95,2000,positive = confidence sharpening,FastV increases max-softmax confidence on LLaVA.
llava_fastv_entropy_drop,"LLaVA/POPE FastV r=0.5, 3 seeds",entropy_mean_delta,-0.018510437116619705,-0.022856839202979717,-0.01417339091865693,"-0.0185 [-0.0229, -0.0142]",1536,0.95,2000,negative = confidence sharpening,Entropy decreases under the same LLaVA FastV gate.
llava_fastv_scalar_residual,"LLaVA/POPE FastV r=0.5, 3 seeds",scalar_fit_residual,0.26666924185108737,0.23615249432814364,0.2995081833205148,"0.2667 [0.2362, 0.2995]",1536,0.95,2000,lower = more scale-like,Residual quantifies non-scalar perturbation after the best pooled scale fit.
qwen_fastv_confidence_flattening,"Qwen2-VL/POPE FastV r=0.5, 4 seeds",max_softmax_mean_delta,-0.015073609807224275,-0.019697112038751782,-0.010311261847201061,"-0.0151 [-0.0197, -0.0103]",2048,0.95,2000,negative = confidence flattening,Qwen2-VL reverses the LLaVA confidence-sharpening direction.
qwen_fastv_scalar_residual,"Qwen2-VL/POPE FastV r=0.5, 4 seeds",scalar_fit_residual,0.8657204866888737,0.8477335005311697,0.8830930859710716,"0.8657 [0.8477, 0.8831]",2048,0.95,2000,lower = more scale-like,Qwen2-VL FastV has a large non-scalar residual.
sparsevlm_aurc_improvement,"LLaVA/POPE layer-8 SparseVLM r=0.5, 3 seeds",aurc_delta,-0.002464969316490921,-0.0036116124014465116,-0.0013604349259476276,"-0.0025 [-0.0036, -0.0014]",2115,0.95,2000,negative = improved selective reliability,SparseVLM improves AURC despite inconclusive ECE movement.
vtw_aurc_improvement,"LLaVA/POPE layer-8 VTW r=0.5, 3 seeds",aurc_delta,-0.0026778713039781674,-0.0038330549381072683,-0.0016377823332835676,"-0.0027 [-0.0038, -0.0016]",2115,0.95,2000,negative = improved selective reliability,VTW improves AURC despite inconclusive ECE movement.
ts_ece_improvement,"LLaVA/POPE FastV r=0.5 + temperature scaling, 3 seeds",ece_delta,-0.021676998021786204,-0.03152986730122575,-0.0036727375710227626,"-0.0217 [-0.0315, -0.0037]",1536,0.95,2000,negative = better calibration,Temperature scaling lowers ECE for pruned FastV logits.
ts_aurc_worsening,"LLaVA/POPE FastV r=0.5 + temperature scaling, 3 seeds",aurc_delta,0.00667751691497602,-0.0008520281032356482,0.013604745955629967,"0.0067 [-0.0009, 0.0136]",1536,0.95,2000,positive = worse selective reliability,The same temperature scaling transform worsens AURC.
aokvqa_adaptive_failure,"LLaVA/A-OKVQA FastV r=0.5 + unguarded AdaptiveCalibPrune, full validation",ece_delta,0.0784810492285403,0.04336843313921506,0.11214010698654081,"0.0785 [0.0434, 0.1121]",1145,0.95,2000,positive = worse calibration,Unguarded adaptive calibration overfits on the A-OKVQA gate.
