model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
qwen2vl_2b,aokvqa,fastv,0.75,max_softmax_mean_shift,0.09822726293930392,0.08587074547846431,0.11031323950555671,512,1,20260626,1000,0.95,0.09822726293930392,0.0,0.09822726293930392,0.09822726293930392,0.25,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.75,max_softmax_median_shift,0.09564626410557203,0.08443250447102058,0.110776969337515,512,1,20260626,1000,0.95,0.09564626410557203,0.0,0.09564626410557203,0.09564626410557203,0.25,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.75,max_softmax_q95_shift,0.13334210818665204,0.1016959235040869,0.17662240550350178,512,1,20260626,1000,0.95,0.13334210818665204,0.0,0.13334210818665204,0.13334210818665204,0.25,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.75,entropy_mean_shift,-0.16015617081172298,-0.17766533906142642,-0.1417510706758166,512,1,20260626,1000,0.95,-0.16015617081172298,0.0,-0.16015617081172298,-0.16015617081172298,0.25,negative means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.75,margin_mean_shift,0.12025510935323279,0.1009924085769577,0.13938430284294162,512,1,20260626,1000,0.95,0.12025510935323279,0.0,0.12025510935323279,0.12025510935323279,0.25,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.75,logit_l2_mean_shift,0.6232438168855421,0.5683825486310622,0.6805397393481725,512,1,20260626,1000,0.95,0.6232438168855421,0.0,0.6232438168855421,0.6232438168855421,0.25,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.75,logit_l2_ratio_mean_minus_1,0.5760006540019442,0.5111471211479238,0.6382753974665292,512,1,20260626,1000,0.95,0.5760006540019442,0.0,0.5760006540019442,0.5760006540019442,0.25,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.75,alpha_pooled_minus_1,0.18773701574851676,0.1395682176441572,0.23749543742356066,512,1,20260626,1000,0.95,0.18773701574851676,0.0,0.18773701574851676,0.18773701574851676,0.25,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.75,scale_residual_rel_norm,0.5641930390035782,0.5426135060540974,0.5857471361235088,512,1,20260626,1000,0.95,0.5641930390035782,0.0,0.5641930390035782,0.5641930390035782,0.25,smaller means scalar-scale model explains pruning better
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_mean_shift,0.0994368177273747,0.08733928219426984,0.11201252986311211,512,1,20260626,1000,0.95,0.0994368177273747,0.0,0.0994368177273747,0.0994368177273747,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_median_shift,0.09253939409043974,0.0791264712858048,0.10651916264965863,512,1,20260626,1000,0.95,0.09253939409043974,0.0,0.09253939409043974,0.09253939409043974,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_q95_shift,0.13216031656925087,0.09992003890893841,0.1784790891632508,512,1,20260626,1000,0.95,0.13216031656925087,0.0,0.13216031656925087,0.13216031656925087,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,entropy_mean_shift,-0.16261936070289024,-0.18062464869911152,-0.14603707724122722,512,1,20260626,1000,0.95,-0.16261936070289024,0.0,-0.16261936070289024,-0.16261936070289024,0.5,negative means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,margin_mean_shift,0.11883873303783238,0.10063755217780913,0.13811402920957988,512,1,20260626,1000,0.95,0.11883873303783238,0.0,0.11883873303783238,0.11883873303783238,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,logit_l2_mean_shift,0.6325669024023226,0.581541247169174,0.6848630816262616,512,1,20260626,1000,0.95,0.6325669024023226,0.0,0.6325669024023226,0.6325669024023226,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,logit_l2_ratio_mean_minus_1,0.5793658401044612,0.5188096712593543,0.6404248816479372,512,1,20260626,1000,0.95,0.5793658401044612,0.0,0.5793658401044612,0.5793658401044612,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,alpha_pooled_minus_1,0.21536447284043958,0.17076912702698344,0.2612942849669923,512,1,20260626,1000,0.95,0.21536447284043958,0.0,0.21536447284043958,0.21536447284043958,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,scale_residual_rel_norm,0.5413586113288237,0.5198390006202852,0.5629578265086345,512,1,20260626,1000,0.95,0.5413586113288237,0.0,0.5413586113288237,0.5413586113288237,0.5,smaller means scalar-scale model explains pruning better
qwen2vl_2b,aokvqa,fastv,0.25,max_softmax_mean_shift,0.08724810415887388,0.07640638861852397,0.09822583055865071,512,1,20260626,1000,0.95,0.08724810415887388,0.0,0.08724810415887388,0.08724810415887388,0.75,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.25,max_softmax_median_shift,0.07814762598946548,0.06631855934421917,0.08929878521130524,512,1,20260626,1000,0.95,0.07814762598946548,0.0,0.07814762598946548,0.07814762598946548,0.75,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.25,max_softmax_q95_shift,0.09619785157823746,0.0655373252727145,0.14421448549033955,512,1,20260626,1000,0.95,0.09619785157823746,0.0,0.09619785157823746,0.09619785157823746,0.75,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.25,entropy_mean_shift,-0.14151607369294467,-0.15646746805301306,-0.12751046946589795,512,1,20260626,1000,0.95,-0.14151607369294467,0.0,-0.14151607369294467,-0.14151607369294467,0.75,negative means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.25,margin_mean_shift,0.09815755807659844,0.08021550848615328,0.11609840684329989,512,1,20260626,1000,0.95,0.09815755807659844,0.0,0.09815755807659844,0.09815755807659844,0.75,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.25,logit_l2_mean_shift,0.5430067530883171,0.49860403362170813,0.5889058933880128,512,1,20260626,1000,0.95,0.5430067530883171,0.0,0.5430067530883171,0.5430067530883171,0.75,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.25,logit_l2_ratio_mean_minus_1,0.4847363205644819,0.4357077940380368,0.5328846585584018,512,1,20260626,1000,0.95,0.4847363205644819,0.0,0.4847363205644819,0.4847363205644819,0.75,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.25,alpha_pooled_minus_1,0.2070481466577041,0.17139435581544032,0.2459567625348987,512,1,20260626,1000,0.95,0.2070481466577041,0.0,0.2070481466577041,0.2070481466577041,0.75,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.25,scale_residual_rel_norm,0.4858846948581605,0.46377624739368156,0.5065281181222567,512,1,20260626,1000,0.95,0.4858846948581605,0.0,0.4858846948581605,0.4858846948581605,0.75,smaller means scalar-scale model explains pruning better
