model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std
llava15_7b_4bit,pope,test,fastv,0.25,calibprune,512,2,"20260616,20260617",0.80859375,0.009765625,0.05831121675305583,0.023004414737061003,,,-0.02172802303719898,0.02172802303719898,0.09208561120090075,0.00023540305184781285,-1.0495324669387851e-05,1.0495324669387851e-05,0.8465139067874181,0.026325569306135804
llava15_7b_4bit,pope,test,fastv,0.25,none,512,2,"20260616,20260617",0.80859375,0.009765625,0.08003923979025482,0.0012763916998620208,0.04725240169539782,0.014274211903751152,0.0,0.0,0.09209610652557014,0.000224907727178425,0.0,0.0,0.8745112260354646,0.001671749941910633
llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,512,2,"20260616,20260617",0.80859375,0.009765625,0.05297990860151373,0.004098098133632579,-0.007560255564997051,0.0,-0.027059331188741084,0.0028217064337705544,0.09210491152210352,0.0002534437925357097,8.804996533384735e-06,2.85360653572847e-05,0.8207246473418244,0.030907396771378798
llava15_7b_4bit,pope,test,fastv,0.5,calibprune,512,2,"20260616,20260617",0.8427734375,0.0185546875,0.049479272814907056,0.0003624498653510763,,,-0.0032622723773609967,0.0032622723773609967,0.0631728142233039,0.003363144209025292,7.871071239208549e-06,7.871071239208549e-06,0.8499602363650616,0.021875256215870525
llava15_7b_4bit,pope,test,fastv,0.5,none,512,2,"20260616,20260617",0.8427734375,0.0185546875,0.05274154519226805,0.0028998225120099187,0.019954707097411064,0.010097997691879208,0.0,0.0,0.0631649431520647,0.003371015280264497,0.0,0.0,0.8712615748815573,0.0005739176993747874
llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,512,2,"20260616,20260617",0.8427734375,0.0185546875,0.05618086369666049,0.007789928020833085,-0.008051130357050788,0.0,0.0034393185043924412,0.010689750532843004,0.0631685888009482,0.0033730473203344817,3.645648883505992e-06,2.0320400699810892e-06,0.8605607697502672,0.025688896455325128
llava15_7b_4bit,pope,test,fastv,0.75,calibprune,512,2,"20260616,20260617",0.8544921875,0.0166015625,0.052182096801460257,0.004065937315329766,,,0.010881925018630108,0.010881925018630108,0.05466019025497876,0.0007777793113697556,2.2094174208162065e-06,2.2094174208162065e-06,0.8504981351048592,0.017989984079609056
llava15_7b_4bit,pope,test,fastv,0.75,none,512,2,"20260616,20260617",0.8544921875,0.0166015625,0.041300171782830145,0.006815987703300344,0.008513333687973156,0.019813807907189472,0.0,0.0,0.05465798083755794,0.0007799887287905719,0.0,0.0,0.865081033942556,0.0034070852419122444
llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,512,2,"20260616,20260617",0.8544921875,0.0166015625,0.05464406443851315,0.000853487545510059,-0.0026514891398751045,0.0,0.013343892655683007,0.005962500157790287,0.054665634243573194,0.0007651282194542936,7.653406015249026e-06,1.48605093362765e-05,0.8761966543477265,0.02199402445638976
llava15_7b_4bit,pope,test,feature_norm,0.5,none,512,2,"20260616,20260617",0.84765625,0.009765625,0.026421334811177484,0.004161552041771606,-0.006365503283679505,0.008836268162117522,0.0,0.0,0.059487423124320093,0.004165273827191104,0.0,0.0,0.8614825023099577,0.0023192463888141723
llava15_7b_4bit,pope,test,feature_norm,0.5,temperature_scaling,512,2,"20260616,20260617",0.84765625,0.009765625,0.03857311340374993,0.010290435095643861,-0.028159387724772132,0.0,0.012151778592572444,0.014451987137415467,0.05949317142758664,0.004161006104816629,5.748303266543686e-06,4.26772237447498e-06,0.865583895690797,0.021565528206086038
llava15_7b_4bit,pope,test,none,1.0,none,512,2,"20260616,20260617",0.8486328125,0.0146484375,0.03278683809485699,0.012997820203889128,0.0,0.0,0.0,0.0,0.05408452429012893,0.0016214681313222873,0.0,0.0,0.8635953656143427,0.0025694911661855446
llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,512,1,20260616,0.833984375,0.0,0.0564420660328782,0.0,0.0,0.0,0.010657407734132082,0.0,0.05567481728589935,0.0,-3.117513555186968e-05,0.0,0.85334077198511,0.0
llava15_7b_4bit,pope,test,random,0.5,none,512,1,20260616,0.822265625,0.0,0.06460377347595009,0.0,0.01881911517720397,0.0,0.0,0.0,0.055780694737094225,0.0,0.0,0.0,0.8606753138184087,0.0
llava15_7b_4bit,pope,test,random,0.5,temperature_scaling,512,1,20260616,0.822265625,0.0,0.07018202191284992,0.0,0.013739955879971719,0.0,0.00557824843689983,0.0,0.055803750083846644,0.0,2.3055346752419437e-05,0.0,0.853055352274501,0.0
llava15_7b_4bit,pope,test,uniform,0.5,none,512,1,20260616,0.833984375,0.0,0.045464767158130366,0.0,-0.0003198911406157509,0.0,0.0,0.0,0.05767213870815993,0.0,0.0,0.0,0.8638744191538088,0.0
llava15_7b_4bit,pope,test,uniform,0.5,temperature_scaling,512,1,20260616,0.833984375,0.0,0.045464767158130366,0.0,-0.010977298874747833,0.0,0.0,0.0,0.05767213870815993,0.0,0.0,0.0,0.8638744191538088,0.0
