model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std
llava15_7b_4bit,scienceqa,test,fastv,0.25,calibprune,256,3,"20260616,20260617,20260618",literature-hook,False,0.6354166666666666,0.024773824987552675,0.10928740979315861,0.011412330877209654,,,-0.04013714313183329,0.025405821144962187,0.1803235498918658,0.032350240378784194,0.0035303500141541377,0.0011765171367165879,0.6179967204509135,0.04030898564939252
llava15_7b_4bit,scienceqa,test,fastv,0.25,none,256,3,"20260616,20260617,20260618",literature-hook,False,0.6354166666666666,0.024773824987552675,0.1494245529249919,0.02043545394711437,-0.011471229699533209,0.018127851841800543,0.0,0.0,0.17679319987771167,0.03147507426399153,0.0,0.0,0.7681420709230745,0.0013941323349315486
llava15_7b_4bit,scienceqa,test,fastv,0.25,temperature_scaling,256,3,"20260616,20260617,20260618",literature-hook,False,0.6354166666666666,0.024773824987552675,0.08448556550608277,0.02434495360340999,-0.011665636836306567,0.008305233931122499,-0.06493898741890912,0.009115290801791449,0.17814551068426568,0.03297206414078272,0.0013523108065540506,0.0019405815081495353,0.6635701561428675,0.02547673569680361
llava15_7b_4bit,scienceqa,test,fastv,0.5,calibprune,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.02712586804166621,0.0979681265098008,0.012354944696948506,,,-0.06280579697359466,0.016162605931815198,0.18411720721031832,0.035839441379699376,0.0026752015492262082,0.004412083419849206,0.6431488934995634,0.028755961927003616
llava15_7b_4bit,scienceqa,test,fastv,0.5,none,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.02712586804166621,0.16077392348339548,0.023586669949092403,-0.0001218591411296377,0.012490613804149512,0.0,0.0,0.18144200566109212,0.034232401009098364,0.0,0.0,0.7715297879263594,0.0033985702441627495
llava15_7b_4bit,scienceqa,test,fastv,0.5,temperature_scaling,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.02712586804166621,0.1032310981241542,0.024232174594722312,0.007079895781764846,0.015576980769598719,-0.05754282535924129,0.0067979043905427245,0.1820975042550512,0.035073499808807904,0.0006554985939590807,0.0028827098936328394,0.6629797250941067,0.030733594276952488
llava15_7b_4bit,scienceqa,test,fastv,0.75,calibprune,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.028940248399600077,0.08984178228100653,0.020345981109541993,,,-0.0715264074984544,0.017977574648898226,0.18734979918859151,0.035242489257270464,0.0015776303630196664,0.00313197529747151,0.6705404400508965,0.018799923463198524
llava15_7b_4bit,scienceqa,test,fastv,0.75,none,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.028940248399600077,0.16136818977946094,0.027137537248568818,0.00047240715493583146,0.0097618515378678,0.0,0.0,0.18577216882557188,0.03404848816088277,0.0,0.0,0.7716027892979112,0.0017644615361092984
llava15_7b_4bit,scienceqa,test,fastv,0.75,temperature_scaling,256,3,"20260616,20260617,20260618",literature-hook,False,0.6145833333333334,0.028940248399600077,0.08910556167804018,0.0191543448242136,-0.007045640664349169,0.008582279415697891,-0.07226262810142077,0.016220373822949944,0.18675503426628137,0.034851479251303184,0.0009828654407095054,0.003114321117812118,0.6606371871207876,0.025549992908420163
llava15_7b_4bit,scienceqa,test,none,1.0,none,256,3,"20260616,20260617,20260618",unpruned,False,0.6236979166666666,0.03669011146772233,0.1608957826245251,0.03451700941250769,0.0,0.0,0.0,0.0,0.18290734940219003,0.034379040552580634,0.0,0.0,0.7749045355310539,0.0015087362311111802
llava15_7b_4bit,scienceqa,test,none,1.0,temperature_scaling,256,3,"20260616,20260617,20260618",unpruned,False,0.6236979166666666,0.03669011146772233,0.09615120234238934,0.02460644545128969,0.0,0.0,-0.06474458028213577,0.03310271953940147,0.18375143770597893,0.036359743731963164,0.0008440883037889128,0.0027933203218418463,0.6652225228534031,0.028910967197916793
